ID	Age	Period	Locality	Country	Formation	Thickness	FAD	LAD	Terrane	Paleolatitude	Environment_interpretation	Year_discovery	Time_sampling	Conglomerate	%_conglomerate	Sandstone	%_sandstone	Siltstone	%_siltstone	Shale	%_shale	Mudstone	%_mudstone	Limestone	%_limestone	Dominant	Atmopheric_O2	Athmospheric_CO2	Surface_temperature	Salinity	%_flooded_land	Tidal_amplitude	Conodonts	Heterostraci	Heterostraci_richness	Agnathans	Agnathan_richness	Thelodonti	Thelodont_richness	Placodermi	Placoderm_richness	Acanthodii	Acanthodian_richness	Chondrichthyes	Chondrichthyan_richness	Actinopterygii	Actinopterygian_richness	Sarcopterygii	Sarcopterygian_richness	Tetrapoda	Tetrapod_richness	Vertebrate_richness		Number_specimens	articulated	disarticulated	Bonebed	Stromatolites	Foraminifera	Stromatoporoids	Porifera	Corals	Conularids	Gastropoda	Cephalopoda	Bivalvia	Brachiopoda	Tentaculita	Ectoprocta	Ostracoda	Conchostracans	Trilobita	Arthropods aquatic	Arthropods continental	Crinoids	Graptolites	Ichnofossil	Invertebrate_richness	Algae	Psilophyte	Tracheophyta	Lycopod	Archaeopterids	Cladoxylopsida	Spermatophytes	Plant_debris	Plant_richness	Validation
17	Middle-Upper Devonian	Givetian-Frasnian	Hingeon	Belgium	Assize de Mazy		387.7	372.2																										0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0																																				
18	Upper Devonian	late Famennian	Modave	Belgium			363.3333333	358.9			deltaic																						0	0	0	0	0	0	0	1		0	0	1		0	0	1	2	0	0	2				1		0																														
19	Upper Devonian	late Famennian	Becco	Belgium	Evieux		363.3333333	358.9			"Fluvial, channel infill"			0		0		1		1		0		0		SIL							0	0	0	0	0	0	0	1	4	1	1	0	0	1	1	1	4	0	0	10	abundant		0	1		0	0	0	0	0	0	0	0		0	0	0	0		0			0	0			0	0	1		0		1			
20	Upper Devonian	late Famennian	Strud	Belgium	Bois des Mouches		363.3333333	358.9	Laurussia	12 S	floodplain			0		1		1		1		0		0		SHA							0	0	0	0	0	0	0	1	1	1		0	0	1		1	2	1	1	4				1		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0		0	0	1		1		1			
21			Lesse	Belgium																														0	0	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0				1																																
22			Bonne	Belgium																														0	0	0	0	0	0	1		1		1		0	0	0	0	0	0	0				1																																
23	Upper Devonian	Famennian	Dinant	Belgium																														0	0	0	0	0	0	0	0	0	0	1		0	0	1	2	0	0	2				1																																
24	Upper Devonian	Famennian	Chevremont	Belgium	Montfort/Evieux							1888																						0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	3	rare		0	1	0																															
25	Upper Devonian	late Famennian	Durnal	Belgium	Montfort/Evieux							2009																						0	0	0	0	0	0	1	2	1	2	0	0	0	0	1	2	0	0	6			0	1	0																															
26	Upper Devonian	Famennian	Spontin	Belgium																														0	0	0	0	0	0							0	0	1	1	0	0	1				1																																
