ID	Age	Period	Locality	Country	Formation	Thickness	FAD	LAD	Terrane	Paleolatitude	Environment_interpretation	Year_discovery	Time_sampling	Conglomerate	%_conglomerate	Sandstone	%_sandstone	Siltstone	%_siltstone	Shale	%_shale	Mudstone	%_mudstone	Limestone	%_limestone	Dominant	Atmopheric_O2	Athmospheric_CO2	Surface_temperature	Salinity	%_flooded_land	Tidal_amplitude	Conodonts	Heterostraci	Heterostraci_richness	Agnathans	Agnathan_richness	Thelodonti	Thelodont_richness	Placodermi	Placoderm_richness	Acanthodii	Acanthodian_richness	Chondrichthyes	Chondrichthyan_richness	Actinopterygii	Actinopterygian_richness	Sarcopterygii	Sarcopterygian_richness	Tetrapoda	Tetrapod_richness	Vertebrate_richness		Number_specimens	articulated	disarticulated	Bonebed	Stromatolites	Foraminifera	Stromatoporoids	Porifera	Corals	Conularids	Gastropoda	Cephalopoda	Bivalvia	Brachiopoda	Tentaculita	Ectoprocta	Ostracoda	Conchostracans	Trilobita	Arthropods aquatic	Arthropods continental	Crinoids	Graptolites	Ichnofossil	Invertebrate_richness	Algae	Psilophyte	Tracheophyta	Lycopod	Archaeopterids	Cladoxylopsida	Spermatophytes	Plant_debris	Plant_richness	Validation
69	Upper Devonian	early Famennian	East Greenland	Danemark	Udkiggen		372.2	367.7666667																										1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	4						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
70	Upper Devonian	early Frasnian	East Greenland	Danemark	Snehvide		382.7	379.2																										0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	4	0	0	8						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
71	Middle Devonian	Eifelian	East Greenland	Danemark	Kap Bull		393.3	387.7																										0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
72	Middle Devonian	Eifelian	East Greenland	Danemark	Genvejsdalen Mbr		393.3	387.7																										1	1	0	0	0	0	1	1	1	2	0	0	0	0	1	3	0	0	7						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
73	Upper Devonian	Famennian	East Greenland	Danemark	Andersson Land		372.2	358.9																										1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	4						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
74	Upper Devonian	Famennian	East Greenland	Danemark	Agda Dal		372.2	358.9			alluvial plain of ephemeral streams																							1	1	0	0	0	0	1	2	0	0	0	0	0	0	1	3	0	0	6			1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0				
75	Upper Devonian	Famennian	East Greenland	Danemark	Elsa Dal		372.2	358.9			alluvial plain of braided rivers																						0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	4				1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0				
76	Upper Devonian	Famennian	East Greenland	Danemark	Aina Dal		372.2	358.9			fluvial			1		1		1		0		1		0		SAN							0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	2	4	commun		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0				P.E. Ahlberg
77	Middle Devonian	Givetian	East Greenland	Danemark	Ankerbjergselv (Gr 2)		387.7	382.7																										0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
78	Upper Devonian	late Famennain	East Greenland	Danemark	Britta Dal		363.3333333	358.9			ephemeral stream and flood basin															SAN							0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	1	2	5	commun	350	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				1		0				P.E. Ahlberg
79	Upper Devonian	late Famennain	East Greenland	Danemark	Britta Dal		363.3333333	358.9			ephemeral stream and flood basin															SAN							0	0	0	0	0	0	0	1	5	1	1	1	1	0	0	1	5	1	4	16	commun		1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				1		0				P.E. Ahlberg
80	Upper Devonian	late Famennain	East Greenland	Danemark	Stensiš Bjerg		363.3333333	358.9			"meandering river, ephemeral stream, flood basin"					1										SAN							0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	5	8	commun		1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0		1		P.E. Ahlberg
81	Upper Devonian	Famennian	Portishead	England	Woodhill Bay Fish Bed		372.2	358.9						1		1		0		0		1		0										0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0	rare		1	1		0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0			0	0	1							
82	Upper Devonian	early Frasnian	Meeksi Mill outcrop	Estonia			382.7	379.2			"shallow-marine, epi-cratonic basin"																							0	0					1												0																																				
83	Middle Devonian	Givetian	Carriere la Parisienne	France	Blacourt		387.7	382.7			marine			0		0		0		1		0		1		LIM							1	0	0	0	0	0	0	1		0	0	1		1		1		0	0	1	rare		0	1		0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1		0	0	0		0		0			
84	Upper Devonian	middle Frasnian	Carriere du Griset	France	Ferques		379.2	375.7			marine			0		0		0		0		0		1		LIM							1	0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	1	rare		0	1		1		1		1		1			1		1	1			0	0	1	0	1		1	0	0		0		0			
85	Upper Devonian	early Frasnian	Bergisch-Gladbach	Germany	Oberer Plattenkalk		382.7	379.2			"back-reef, marine"																						0	0	0	0	0	0	0	1		1		0	0	1		1		0	0	0	commun		1	1		0							1																							
86	Upper Devonian	late Frasnian	Bad Wildungen	Germany	Kellwasserkalk		375.7	372.2			marine																							0	0	0	0	0	0	1		1		1		1		1		0	0	0				1		0							1					1																		
87	Middle Devonian	late Givetian	Gerolstein	Germany	Crinoiden-Mergel		384.3666667	382.7																										0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0						0																	1													
88	Upper Devonian	middle-late Frasnian	Bicken	Germany	Kellwasserkalk		379.2	372.2																										0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0						0																														
89	Upper Devonian	early Frasnian	Ravar	Iran			382.7	379.2																1		LIM								0	0	0	0	0	0	1		1		1		1		1		0	0	0																																				
90	Upper Devonian	early Frasnian	Charhriseh	Iran			382.7	379.2																1		LIM							1	0	0	0	0	1		1		1		1		1		1		0	0	1	commun		0	1																																
91	Upper Devonian	early-middle Frasnian	Kerman Region (20)	Iran	Cyrtospirifer verneuili stratum		382.7	375.7																									1	0	0	0	0	1		1		1		1		1		1		0	0	1						0									1																					
92	Upper Devonian	Famennian	Chahriseh	Iran	Bahram		372.2	358.9								0		1		1		0		1		SHA LIM							1	0	0	0	0	1		1		1		1		1		1		0	0	1	commun		0	1		0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0		0	0	0		0		0			
93	Middle Devonian	Givetian	Soh	Iran			387.7	382.7																									1	0	0	0	0	1		0	0	1		0	0	1		0	0	0	0	1	rare		0	1																																
94	Upper Devonian	early Frasnian	Koknese Fre	Latvia	Snetnaya Group		382.7	379.2																										0	0																	0						0																														
95	Upper Devonian	late Famennian	Pavari FA	Latvia	Ketleri		363.3333333	358.9			Shallow sea			0		1		1		1		0		0		SAN							0	0	0	0	0	0		1		1		0	0	1		1		1	1	1	commun		1	1		0	0	0	0	0	0					0	0			0			0	0			0	0	0		0		0			
96	Middle Devonian	late Givetian	Straupe	Latvia	Gauja beds		384.3666667	382.7																										0	0	1		0	0	1		1		0	0	0	0	1				0						0																														
97	Middle Devonian	late Givetian	Pasta Muiza Fre	Latvia	Amata		384.3666667	382.7				1942																						0	0	1		0		1		1		0	0	0	0	1				0						0																														
98	Middle Devonian		Lode	Latvia	Gauja									0		0		1		1		1		0												1		0	0	1		1		0	0	0	0	1		0	0	0	commun		1	1		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0		1	0	1		1		0			
99	Upper Devonian	middle Famennian	Hushoot Shiveetiin gol section	Mongolia	Samnuuruul		367.7666667	363.3333333	Baruunhuurai		shallow-water shelf	2021	one time	0	0	1	3	1	15	1	80	0	0	1	2	SHA 							1	0	0	0	0	0	0	0	0	0	0	1	5	1	1	0	0	0	0	7	rare	20	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	>30	0	0	0	0	0	0	0	0	0	
100	Upper Devonian	Famennian	Hamar Lagdad	Morocco			372.2	358.9						0	0									1		LIM							1	0	0	0	0	0	0	1		0	0	1		0	0	1	1	0	0	2				1		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0			0	0	0		0		0	0	0	
101	Upper Devonian	Famennian	Oued Chebbi	Morocco			372.2	358.9						0	0									1		LIM							1	0	0	0	0	0	0	1		0	0	1		0	0	1	1	0	0	2				1		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0			0	0	0		0		0	0	0	
102	Upper Devonian	middle Famennian	Madene	Morocco	Hangenberg Black Shale		367.7666667	363.3333333			Small epicontinental basin									1						SHA								0	0					1				1				0	0	0	0	0												1	1	1							1						1									
103	Upper Devonian	Frasnian	Holy Cross Mountains FRl	Poland	Kielce facies		382.7	372.2																										0	0	1		0		1		0	0	0	0	1		1				0				1		0																														
104	Middle Devonian	Givetian	Zachelmie Quarry	Poland	Wojciechowice		387.7	382.7						0		0		0		0		1		0		MUD								0	0					1										1		0			0	1		0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1		0	0	1		0		0			
105	Lower Devonian	late Emsian	Bukowa Gora Holy Cross Mountains	Poland	Zagorze		398.0666667	393.3			marine near shore or river			0		1		0		0		1		0									1	0	0	1		0		1		1		0	0	0	0	1		0	0	1	commun		0	1		0	1	0	0	0	0	0	0	0	1	0	0	1	0		0	0		0	0		0	0	0		0		0			
106	Lower Devonan	late Emsian	Grzegorzowice-Skaly Holy Cross Mountains	Poland	Grzegorzowice		398.0666667	393.3			very shallow marine			0		1		0		1		0		1									1	0	0	1		0		1		1		0	0	0	0	1		0	0	1	commun		0	1		0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0		0	0	0		0		0			
107	Upper Devonian	middle Frasnian	Holy Cross Mountains FRm	Poland	Kielce facies		379.2	375.7																										0	0	0	0	0		1		0	0	0	0	0	0	1				0						0																														
108	Upper Devonian	early Frasnian	Piskovichi outcrops	Russia			382.7	379.2			"shallow-marine, epi-cratonic basin"																							0	0					1												0																																				
109	Upper Devonian	early Frasnian	Snetnaya Gora outcrops	Russia			382.7	379.2			"shallow-marine, epi-cratonic basin"			0	0					1		0		1									1	0	0					1												1	abundant			1		0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1		1	0	0		0		0	0	1	
110	Upper Devonian	early Frasnian	Velikaya River Pskov Region	Russia			382.7	379.2			"shallow-marine, epi-cratonic basin"	1947																						0	0					1												0																																				
111	Upper Devonian	Famennian	Oryol Region	Russia			372.2	358.9																										0	0					1												0																																				
112	Upper Devonian	Fammenian	Andreyevka-2	Russia			372.2	358.9																1		LIM							1	0	0	0	0	0		1		1		0	0	1		1		1		1			0	1	1													1																		
113	Upper Devonian	Frasnian	Pskov FR	Russia			382.7	372.2				1933																						0	0	1				1		1				1		1		0	0	>20																																				
114	Upper Devonian	Frasnian	Sjass FR	Russia			382.7	372.2																										0	0																	0																																				
115	Upper Devonian	early Famennian	Mill Rock	Scotland	Pickwell Down Sandstone		372.2	367.7666667			non-marine			0		1		0		1		0		0		SAN							0			0	0	0		1		0	0	0	0	0	0	1		0	0	0	rare		0	1		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			0	0	0		0		0			
116	Upper Devonian	early Frasnian	Whitemire FR	Scotland	Edenkillie Beds		382.7	379.2																																												0						0																														
117	Upper Silurian	early Wenlock	Shiel Burn Monks Water	Scotland	Fish Bed		433.4	431.4			lagoon	1896	100	0	0	1	35	1	5	0	0	1	60	0	0	MUD							0	0	0	1	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	10	abundant	40	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1		1	0	0		0		0	1		
118	Upper Silurian	early Wenlock	Dippal Burn	Scotland	Dippal Burn		433.4	431.4			fresh or brackish lagoon			1	5	1	10	1	45	1	10	1	30	0	0	SIL							0	0	0	1	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	7	commun	20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0		0		0	1		
119	Upper Devonian	late Frasnian	Scaat Craig	Scotland	Scaat Craig Beds		375.7	372.2			fluvial	1826		1		1		0		0		0		0		SAN							0	1	2	0	0	0	0	1	3	1	1	0	0	0	0	1	4	1	1	11	commun		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PEA
120	Middle-Upper Devonian	Givetian-Frasnian	Nairn GIFR	Scotland	Nairn Sandstone		387.7	372.2																		SAN								0	0																	0				1		0																														
121	Middle Devonian	late Givetian	Elgin GI	Scotland			384.3666667	382.7																												0	0	0		1		1		0	0	1		1		1		0			1	1		0																														
122	Middle Devonian	late Givetian	Holborn Head Quarry	Scotland	Upper Caithness Flagstone Group		384.3666667	382.7																												0	0	0		1		1		0	0	0	0	1		0	0	0																																				
123	Lower Silurian	late Llandovery	Birk Knowes	Scotland	Patrick Burn		436.8666667	433.4			marginal marine	1856	150	0	0	1		1		0	0	1		0	0								0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	abundant		1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	>41	0	0	0		0		0	1	0	
124	Lower Silurian	late Llandovery	Ree Burn Douglas Water	Scotland	Ree Burn		436.8666667	433.4						0	0	0	0	1	30	1	30	1	40	0	0	LIM							0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	rare		0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	>43	1	0	0		0		0	1	1	
125	Lower Silurian	late Llandovery	Dunside	Scotland	Kip Burn		436.8666667	433.4				1856		0	0	0	0	1	10	0	0	1	90	0	0	LIM							0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	rare		1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	17	0	0	0		0		0	0	0	
126	Upper Silurian	Pridoli	Slot Burn (Segholm)	Scotland	Slot Burn		423	419.2				1896	70	0	0	1	10	1	10	0	0	1	80	0	0	LIM							0	0	0	1	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	9	abundant	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0		0		0	1		
127	Middle Devonian	Givetian	Grootrivier	South Africa			387.7	382.7																												0	0	0		1		1		1		0	0	0	0	0	0	0																																				
128	Middle Devonian	Givetian	Warmwaterberg	South Africa			387.7	382.7																												0	0	0		1		1		1		0	0	1		0	0	0																																				
129	Upper Devonian	late Famennian	Waterloo Farm	South Africa	Witpoort		363.3333333	358.9	?Dronning Maud Land	70 S	Lagoonal estuary			0		1		0		1		0		0		SHA							0	0	0	1	1	0	0	1	4	1	4	1	2	1	1	1	3	1	2	17	abundant		1	1		0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0		1	0	1		1		0	1		
130	Middle Devonian	Givetian	Cederberg	South Africa	Klipbokkop		387.7	382.7	?Dronning Maud Land		Freshwater delta			1		0		0		0		1		0		MUD							0	0	0	0	0	0	0	1	2	1	1	1	2	0	0	1	1	0	0	6			0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1		0	0	0	1	0	0	0	1		
131			Rooiberg	South Africa	Wagendrift				?Dronning Maud Land		Marginal marine			0		1		1		0		0		0										0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	2																									1											
132	Lower Devonian	Eifelian	Aragon	Spain	Moyuela		393.3	387.7																									0			0	0	0		1		0	0	0	0	0	0	1		0	0	0																																				
133	Lower Devonian	Lochkovian-Pragian	Aragon	Spain	Nogueras		419.2	407.6	Cordillera Iberica							1		0		1		0		1		LIM							1			0	0	1		1		1		1		1		0	0	0	0	1	rare		1	1		0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1		1	1	0		0					
134	Lower Devonian	Lochkovian-Pragian	Aragon	Spain	Santa Cruz		419.2	407.6	Cordillera Iberica		Shallow tidal marine					1				1				1									1			0	0	1		0	0	1		0	0	0	0	0	0	0	0	1										1	0	1	1	0	1	1	1	1	0	1			1		1											
135	Upper Devonian	late Famennian	Mae Sam Lap	Thailand			363.3333333	358.9	Shan-Thai		Marine			0		0		0		0		1		1		LIM							1			0	0	0		0	0	1		1		1		0	0	0	0	1	commun		0	1																							0	0	0		0		0			
136	Upper Silurian - Lower Devonian		Mae Sariang	Thailand																						LIM										0	0	1		0	0	1		0	0	0	0	0	0	0	0	0			0	1	0																															
137	Middle Devonian		Loei (new site)	Thailand							marine			0		0		1		1		1		1		SHA LIM							0			0	0	0		1		0	0	0	0	0	0	0	0	0	0	0	rare		0	1		0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0		0	0	1		0		0			
138	Upper Devonian	Famennian	Koprulu black shale	Turkey	Koprulu Black Shale		372.2	358.9																																												0																																				
139	Upper Devonian	Frasnian	Armutgozlek Tepe	Turkey	Upper Antalya Nappe		382.7	372.2						0		1		0		0		0		0		SAN							0	0	0	0	0	0	0	1	6	1	2	0	0	0	0	1	3	0	0	11	rare		0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
140	Upper Devonian	early Frasnian	Red Hill	USA AR	Denay		382.7	379.2	Laurasia	10 S	"Marine, lagoonal"			0		0		0		1		1		1		LIM							1			0	0	0		1		1		0	0	1		1		0	0	1	commun		1	1		0	0	1	1	1	1	0	0	0	1	0	0	0		0	0	0	1	0	1		0	0	0		0		0			
141	Upper Devonian	Frasnian	Mt Elden	USA AR	Martin		382.7	372.2	Laurasia		near-shore marine	1936		0	0	1	17	1	33	0	0	0	0	1	50	LIM							1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	3	0	0	11	commun	100	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	
142	Upper Devonian	late Frasnian	Jerome localities	USA AR	Jerome Member Martin Formation		375.7	372.2	Laurasia		deeper marine	1916		0	0	1	7	1	7	0	0	0	0	1	86	LIM							1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	3	rare	10	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	
143	Upper Devonian	Famennian	Endlich Mesa	USA CO	Elbert		372.2	358.9	Laurasia		coastal marine	1951		0		0						1		1		SAN							0	0	0	0	0	0	0	1	3	0	0	1		0	0	1	5	0	0	8			1	1																																
144	Upper Devonian	late Famennian	Parting	USA CO	Parting		363.3333333	358.9	Laurasia		coastal marine			0	0	1		0	0	0	0	1		1		SAN							1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	5	0	0	7			0	1		1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1		0	0	0	0	0	0	0	0	0	
145	Upper Devonian	late Famennian	White River Plateau	USA CO	Dyer		363.3333333	358.9	Laurasia		Marine			0		1		0		0		1		1		LIM							1			0	0	0		1		0	0	1		0	0	1		0	0	1	rare		0	1		0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1		1	0	0		0		0			
146	Upper Devonian		Fremont	USA CO	Chaffee				Laurasia		Marine													1									0			0	0	0		1		0	0	1		0	0	1		0	0	0				1											1																					
147	Middle Devonian	Eifelian	Dundee limestone	USA MI	Dundee Limestone		393.3	387.7	Laurasia					0		0		0		0		0		1		LIM							0			0	0	0		1		1		1		0	0	1		0	0	0	rare		1	1		0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0			0	0	0		0		0			
148	Middle Devonian	Givetian	Rockport Quarry	USA MI	Rockport Quarry Limestone		387.7	382.7	Laurasia															1		LIM										0	0	0		1		1		1						0	0	0	common		1	1		0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0		0	0	0		0		0			
149	Upper Devonian	early Frasnian	18 Mile Creek	USA NY	North Evans Limestone		382.7	379.2	Laurasia																	LIM							1	0	0	0	0	0	0	1	9	1	2	1	5	1	1	1	2	0	0	20			0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1		0	0	0	0	0	0	0			
150	Middle Devonian	Late Givetian	Cairo	USA NY	Platerkill		384.3666667	382.7	Laurasia					0		0		0		1		1		0		MUD							0			1		0		1		0	0	1		1		1		0	0	0			1	1			0			0	0	0	0	0	0	0	0	0	0	0	1	1	0		0		0	0	0		1					
151	Middle-Upper Devonian		Delaware Co	USA NY	Catskill				Laurasia	20 S - 45 S	deltaic					1										SAN							0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	3				1	0																															
152	Upper Devonian	Famennian	Cleveland FA	USA OH	Cleveland Member		372.2	358.9	Laurasia					0		0		0		1		1		0									1			0	0	0		1		0	0	1		1		1		0	0	1	commun		1	1		0		0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0			0	0	0		0		0			
153	Upper Devonian	Late Famennian	Red Hill	USA PN	Duncannon Mbs Catskill Fm		363.3333333	358.9	Laurasia		alluvial plain			1		1		1		0		0		0									0			0	0	0		1		1		1		1		1		1		0	common		0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		0	0	1		1		1			
154	Upper Devonian	late Famennian	Route 15 Tioga Co	USA PN	Catskill		363.3333333	358.9	Laurasia	20 S - 45 S				0		1		1		0		0		0									0			0	0	0		1	4	1	2	1	1	0	0	1	3	0	0	10	common		1	1		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0		0	0	0		0		0			
155	Upper Devonian	late Famennian	Lycoming Co	USA PN	Catskill		363.3333333	358.9	Laurasia	20 S - 45 S	fluvial 			0		1		0		1		0		0									0			0	0	0		1		1		0	0	0	0	1		1		0	commun		0	1		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		0	0	1		1		0			
156	Upper Devonian	middle Famennian	Howard Falls	USA PN	Chadakoin (Chemung Chagrin)		367.7666667	363.3333333	Laurasia		Shallow marine			0		1		1		1		0		0									1			0	0	0		1		1		1		1		1		0	0	1	rare		0	1		0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1		1	0	0		1		1			
157	Upper Devonian	late Givetian-late Frasnian	Cano Colorado Sur	Venezuela	Campo Chico		384.3666667	375.7																												0	0	0		1		1		1				1		0	0	0			1	1			0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1		0	0	1		1		0			
158	Middle Devonian	Givetian-early Frasnian	Dong Tho	Vietman	Dong Tho		387.7	379.2			Coastal marine			0	0	1	60	0	0	1	40	0	0	0	0	SAN							0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	2	rare		0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0		0	0	1	1	1	0	0	1		
159	Upper Silurian 	Wenlock-Pridoli	My Duc	Vietman	Dai Giang		433.4	419.2	Indochina		Marine	1997		0	0	1	95	0	0	1	5	0	0	0	0	SAN							0			0	0	0	0	1		1		0	0	0	0	1		0	0	0	common		0	1	0		0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0		0	0	0		0		0			
160	Lower Devonian	Emsian	Cape Ly Hoa	Vietnam	Ly Hoa		407.6	393.3	Indochina		proximal marine		10	0		1		0		1		0		0		SAN							0	0	0	1	1	0	0	1	6	0	0	0	0	0	0	1	2	0	0	9	rare	20	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	
161	Lower Devonian	late Lochkovian-early Pragian	Dong Van Trang Xa	Vietnam	Bac Bun		413.6	409.7333333	Indochina		onshore shallow marine	1915		0	0	1	3	1	10	1	80	1	2	1	5	SHA							1	0	0	1	1	0	0	1	7	1	2	0	0	0	0	1	2	0	0	13	abundant		1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0		0	0	1	0	0	0	0	1		
162	Upper Devonian	early Famennian	Zom Nha	Vietnam	Xom Nha		372.2	367.7666667			Marine deep-water	1993		0	0	0	0	0	0	1	10	0	0	1	90	LIM							1	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	5	rare		0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0			0	0	0	0	0	0	0	0	0	
163	Middle Devonian	Givetian	Song Hong	Vietnam	Quy Dat-Muc Bai		387.7	382.7			"Marine, deltaic"	1993		0		1		0		1		0		1									1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	4	rare		0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0		0	0	1		0		0			
164	Lower Devonian	late Ludlow-early Pridoli	Lung Co-Mia Le	Vietnam	Si Ka		424.4666667	421.7333333			estuary	1999		1		1		1		1		0	0	1		SHA							0	0	0	1	3	0	0	1	5	0	0	0	0	0	0	1	1	0	0	9	common		1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1		1	0	1	0	0	0	0	1		
165	Lower Devonian	middle-late Lochkovian	Tong Vai	Vietnam	Khao Loc		416.4	410.8			Shallow marine	1995		0	0	1		0	0	1		0	0	1		LIM										1	2	0	0	1	4	1		0	0	0	0	1		0		6				1		0		1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0												
166	Lower Devonian	Pragian	Mia Le	Vietnam	Mia Le		410.8	407.6			Marine			0		1		0		1		0		1												1														0	0	0	abundant			1		0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0		0	0	0		0		0			
