ID	Age	Period	Locality	Country	Formation	Thickness	FAD	LAD	terrain	Palaeolatitude	Environnement_interpretation	Year_discovery	Time_sampling	Conglomerate	%_conglomerate	Sandstone	%_sandstone	Siltstone	%_siltstone	Shale	%_shale	Mudstone	%_mudstone	Limestone	%_limestone	lDominant_lith	Atmopheric_O2	Athmospheric_CO2	Surface_temperature	Salinity	%_flooded_land	Tidal_amplitude	Conodonts	Heterostraci	Heterostraci_richness	Agnathans	Agnathan_richness	Thelodonti	Thelodont_richness	Placodermi	Placoderm_richness	Acanthodii	Acanthodian_richness	Chondrichthyes	Chondrichthyan_richness	Actinopterygii	Actinopterygian_richness	Sarcopterygii	Sarcopterygian_richness	Tetrapoda	Tetrapod_richness	Vertebrate_richness		Number_specimens	articulated	disarticulated	Bonebed	Stromatolites	Forams	Stromatoporoids	Porifera	Corals	Conularids	Gastropods	Cephalopods	Bivalves	Brachiopods	Tentaculites	Ectoprocta	Ostracods	Conchostracans	Trilobites	Arthropods aquatic	Arthropods continental	Crinoids	Graptolites	Ichnofossil	Invertebrate_richness	Algae	Psilophyte	Tracheophyta	Lycopod	Archaeopterids	Cladoxylopsida	Spermatophytes	Plant_debris	Plant_richness	Validation
13	Upper Devonian	early Frasnian	Mansfield (5)	"Australia, VIC"	Blue Range		382.7	379.2			freshwater			0		1		1		0		0		0										0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0																																				
14	Upper Devonian	early Frasnian	Freestone Creek (7)	"Australia, VIC"	Mt Kent Conglomerate		382.7	379.2			Alluvial plain			1		1		0		0		1		0		CON							0	0	0	0	0	0	0	1		1		0	0	1		1		0	0	0	rare		0	1																								0	0		1		1			
15	Upper Devonian	early Frasnian	Mt. Howitt Spur (8)	"Australia, VIC"	Avon River Group		382.7	379.2						0		0		1		1		1		0		SHA								0	0	0	0	0	0	1		1		0	0	1		1		0	0	0	abundant		1	1																																
16				Belarusia																																						1				1				0	0	0			0	1	0																															
17	Middle-Upper Devonian	Givetian-Frasnian	Hingeon	Belgium	Assize de Mazy		387.7	372.2																										0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0																																				
18	Upper Devonian	late Famennian	Modave	Belgium			363.3333333	358.9			deltaic																						0	0	0	0	0	0	0	1		0	0	1		0	0	1	2	0	0	2				1		0																														
19	Upper Devonian	late Famennian	Becco	Belgium	Evieux		363.3333333	358.9			"Fluvial, channel infill"			0		0		1		1		0		0		SIL							0	0	0	0	0	0	0	1	4	1	1	0	0	1	1	1	4	0	0	10	abundant		0	1		0	0	0	0	0	0	0	0		0	0	0	0		0			0	0			0	0	1		0		1			
20	Upper Devonian	late Famennian	Strud	Belgium	Bois des Mouches		363.3333333	358.9	Laurussia	12 S	floodplain			0		1		1		1		0		0		SHA							0	0	0	0	0	0	0	1	1	1		0	0	1		1	2	1	1	4				1		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0		0	0	1		1		1			
21			Lesse	Belgium																														0	0	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0				1																																
22			Bonne	Belgium																														0	0	0	0	0	0	1		1		1		0	0	0	0	0	0	0				1																																
23	Upper Devonian	Famennian	Dinant	Belgium																														0	0	0	0	0	0	0	0	0	0	1		0	0	1	2	0	0	2				1																																
24	Upper Devonian	Famennian	Chevremont	Belgium	Montfort/Evieux							1888																						0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	3	rare		0	1	0																															
25	Upper Devonian	late Famennian	Durnal 2	Belgium	Montfort/Evieux							2009																						0	0	0	0	0	0	1	2	1	2	0	0	0	0	1	2	0	0	6			0	1	0																															
26	Upper Devonian	Famennian	Spontin	Belgium																														0	0	0	0	0	0							0	0	1	1	0	0	1				1																																
27	Middle Devonian		Copacabana Section	Bolivia	Huamampampa									0		1		0		0		0		0									0	0	0	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0										1	1				1	1	1	1		1			1													
28				Bolivia	Sica Sica																													0	0	0	0	0	0	0	0	1		1		0	0	0	0	0	0	0	rare														1					1			1													
29				Bolivia	Icla																															0	0	0	0	0	0	1		1		0	0	0	0	0	0	0	rare														1					1			1													
30				Bolivia	Belen																															0	0	0	0	0	0	1		1		0	0	0	0	0	0	0	rare														1					1			1													
31	Upper Devonian	Famennian		Brazil	Longa		372.2	358.9																										0	0	0	0	0	0	0	0	1		1		0	0	1		0	0	0	rare		0	1		0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1		0	0	0		0		0			
32	Middle Devonian			Brazil	Pimenteira									1		1		1		1		0		0												0	0	0	0	0	0	1		1		0	0	0	0	0	0	0	rare		0	1																																
33	Lower Devonian			Brazil	Manacapuru																															0	0	0	0	0	0	1		1		0	0	0	0	0	0	0	rare		0	1																																
34	Upper Devonian	middle Frasnian	Miguasha	Canada	Escuminac	119	379.2	375.7	Laurasia	15 S	Estuary	1879	145 YEARS	1	0.1	1	25	1	22	1	46	0	0	0	0	SHA SIL							0	0	0	1	4	0	0	1	2	1	4	0	0	1	1	1	8	1	1	20	abundant		1	1		0	1			0	0	0	0	0	0	0	0	0	1	0	1	1	0		1		0	1	0		1					R. Cloutier
35	Upper Devonian		Nunavut	Canada	Fram				Laurasia		meandering streams			0		1		1		0		0		0		SIL							0	0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0	commun					0																														
36	Upper Silurian	late Pridoli	Ridgemont Quarries	Canada (ON)	Bertie		420.4666667	419.2	Laurasia		Intertidal lagoon			0		0		0		1		0		1		LIM							1	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	1	rare		1	0		0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0		1	1	1		0		0			
37	Lower Devonian	Emsian	Atholville 	"Canada,  NB"	Campbellton	15	407.6	393.3	Laurasia		deltaic	1881		1		1		0		1		1		0		MUD							0	0	0	1	2	0	0	1	3	1	4	1	2	0	0	0	0	0	0	11	commun	300	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	6	1	1	1	1	0	0	0	1		R. Cloutier
38	Lower Devonian	Lochkovian	Dalhousie	"Canada,  NB"	Dalhousie		419.2	410.8	Laurasia																									1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	rare	1	1	0	0																															
39	Middle Devonian	late Givetian	Wapiti Mountain	"Canada, AL"	Yahatinda		384.3666667	382.7	Laurasia		river channel and littoral			1		1		1		0		1		0									1	0	0	1		0	0	1		0	0	0	0	0	0	1		0	0	1	rare						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1		1		1			
40	Lower Devonian	Emsian	Arisaig & Pictou	"Canada, NS"	Knoydart	300	407.6	393.3	Laurasia		fluvial	1901				1	20	1	30	1	50	0	0	0	0	SHA SAN							0	1	4	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	7	common		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	
41	Upper Devonian	Frasnian	"Okse Bay, Ellesmere"	"Canada, EL"	Okse Bay		382.7	372.2	Laurasia																	SAN								0	0																	0						0																														
42			MOTH	"Canada, NWT"					Laurasia									1		1				1																												0																																				
43	Upper Devonian	Frasnian-Famennian	Kettle Point	"Canada, ON"			382.7	358.9	Laurasia					0		0		0		1		1		1		LIM							1	0	0	0	0	0	0	1		0	0	0	0	1		0	0	0	0	1	rare		0	1		0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0		1	0	0		0		1			
44	Lower Devonian 	early Emsian	Mont Lyall	"Canada, QC"	York River	1.7	407.6	402.8333333	Laurasia			1991	2-3 days	0	0	0	0	1	10	1	80	0	0	1	10	SHA							0	0	0	1	1	0	0	1	3	1		1	1	0	0	0	0	0	0	5	commun	100	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	R. Cloutier
45	Lower Devonian 	early Emsian	Mont Tuzo	"Canada, QC"	York River		407.6	402.8333333	Laurasia			2002														SIL							0	0	0			0	0			1	2			0	0	0	0	0	0	2																																				
46	Lower Devonian 	Emsian	Heppel Station	"Canada, QC"	York River				Laurasia																								0	0	0			0	0							0	0	0	0	0	0	0																																				
47	Lower Devonian	Emsian	D'Aiguillon (Cap-au-Os)	"Canada, QC"	Battery Point				Laurasia							1										SAN							0	0	0	1	6	0	0	1	5	1	3	0	0	0	0	0	0	0	0	14																																				R. Cloutier
48	Lower Devonian	Emsian	Anse-a-Brillant	"Canada, QC"	Battery Point				Laurasia		"lagoon, deltaic"																						0	0	0	1	1	0	0	1	2	1	1	0	0	0	0	0	0	0	0	4	rare	30	0	1		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0		0	1	0	0	0	0	0	1		
49	Upper Devonian	Famennian		China	Zhongning		372.2	358.9																										0	0					1												0																																				
50	Middle Devonian	late Eifelian	Cement Plant	China	Haikou		389.5666667	387.7			Offshore			0		1		0		1		0		1		SAN SHA										0	0	0	0	1		0	0	0	0	0	0	1		0	0	0																																				
51	Lower Devonian	late Emsian	Wufengshan	China	Jiucheng		398.0666667	393.3						0		1		0		1		0		1		SAN SHA										0	0	0	0	1		0	0	0	0	0	0	1		0	0	0																																				
52	Upper Silurian	late Ludlow	Qujing	China	Kuanti		425.6	419.2			Marine			0		0		1		1		1		1		MUD										1		1		1		1		0	0	0	0	1		0	0	0																																				
53	Upper Silurian	Llandovery		China	Huixingshao		436.8	433.4																																1	1											1																																				
54	Upper Silurian	Ludlow	Qujing	China	Yuejiashan		427.4	423			Marine			0		0		0		1		1		1												0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0																																				
55	Upper Silurian	Ludlow	Qujing	China	Miaokao		427.4	423			Marine			0		0		0		1		0		1		LIM										0	0	0	0	1		1		0	0	1		0	0	0	0	0																																				
56	Upper Silurian	Pridoli	Qujing	China	Yulungssu		423	419.2			Marine			0		0		0		1		0		1		SHA										0	0	0	0	0	0	1		0	0	0	0	1		0	0	0																																				
57	Lower Devonian		Xitun	China	Xitun						Shallow marine			0		1		0		1		1		1		SHA LIM										1		0	0	1		1		0	0	1		1		0	0	0										0	0	0	0	1	1	0	0	1	0	0	0	0	0				0	0	1		0		0			
58	Silurian		Dongpo	China	Kuanti						Marine			0		0		1		0		1		1		LIM										1		0	0	1		0	0	0	0	0	0	1		0	0	0										0	0	0	1	1	1	0	0	1	0	0	0	0	0													
59			Guizhou	China																																																0																																				
60	Upper Devonian	Frasnian		Colombia			382.7	372.2																										0	0															0	0	0																																				
61	Upper Devonian	early Famennian	East Greenland	Denmark	Tegelbjerg Mb		372.2	367.7666667																										0	0	0	0	0	0	1	1	0	0	1	2	0	0	1	1	0	0	4						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
62	Upper Devonian	early Famennian	East Greenland	Denmark	Udkiggen		372.2	367.7666667																										1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	4						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
63	Upper Devonian	early Frasnian	East Greenland	Denmark	Snehvide		382.7	379.2																										0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	4	0	0	8						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
64	Middle Devonian	Eifelian	East Greenland	Denmark	Kap Bull		393.3	387.7																										0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
65	Middle Devonian	Eifelian	East Greenland	Denmark	Genvejsdalen Mbr		393.3	387.7																										1	1	0	0	0	0	1	1	1	2	0	0	0	0	1	3	0	0	7						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
66	Upper Devonian	Famennian	East Greenland	Denmark	Andersson Land		372.2	358.9																										1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	4						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0										
67	Upper Devonian	Famennian	East Greenland	Denmark	Agda Dal		372.2	358.9			alluvial plain of ephemeral streams																							1	1	0	0	0	0	1	2	0	0	0	0	0	0	1	3	0	0	6			1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0				
68	Upper Devonian	Famennian	East Greenland	Denmark	Elsa Dal		372.2	358.9			alluvial plain of braided rivers																						0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	4				1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0				
69	Upper Devonian	Famennian	East Greenland	Denmark	Aina Dal		372.2	358.9			fluvial			1		1				1				0		SAN							0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	2	commun		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0				P.E. Ahlberg
70	Middle Devonian	Givetian	East Greenland	Denmark	Ankerbjergselv (Gr 2)		387.7	382.7																										0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
71	Upper Devonian	late Famennain	East Greenland	Denmark	Britta Dal		363.3333333	358.9			ephemeral stream and flood basin															SAN							0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	1	2	5	commun	350	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				1		0				P.E. Ahlberg
72	Upper Devonian	late Famennain	East Greenland	Denmark	Britta Dal		363.3333333	358.9																		SAN							0	0	0	0	0	0	0	1	5	1	1	1	1	0	0	1	5	1	4	16			1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				1		0				P.E. Ahlberg
73	Upper Devonian	late Famennain	East Greenland	Denmark	Stensio Bjerg		363.3333333	358.9			"meandering river, ephemeral stream, flood basin"					1										SAN							0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	3			1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0		1		P.E. Ahlberg
74	Upper Devonian	Famennian	Portishead	England	Woodhill Bay Fish Bed		372.2	358.9						1		1		0		0		1		0										0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0	rare		1	1		0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0			0	0	1							
75	Upper Devonian	early Frasnian	Meeksi Mill outcrop	Estonia			382.7	379.2			"shallow-marine, epi-cratonic basin"																							0	0					1												0																																				
76	Middle Devonian	Givetian	Carriere la Parisienne	France	Blacourt		387.7	382.7			marine			0		0		0		1		0		1									1	0	0	0	0	0	0	1		0	0	1		1		1		0	0	1	rare		0	1		0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1		0	0	0		0		0			
77	Upper Devonian	middle Frasnian	Carriere du Griset	France	Ferques		379.2	375.7			marine			0		0		0		0		0		1		LIM							1	0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	1	rare		0	1		1		1		1		1			1		1	1			0	0	1	0	1		1	0	0		0		0			
78	Upper Devonian	early Frasnian	Bergisch-Gladbach (17)	Germany	Oberer Plattenkalk		382.7	379.2			"back-reef, marine"																						0	0	0	0	0	0	0	1		1		0	0	1		1		0	0	0	commun		1	1		0							1																							
79	Upper Devonian	late Frasnian	Bad Wildungen (16)	Germany	Kellwasserkalk		375.7	372.2			marine																							0	0	0	0	0	0	1		1		1		1		1		0	0	0				1		0							1					1																		
80	Middle Devonian	late Givetian	Gerolstein (19)	Germany	Crinoiden-Mergel		384.3666667	382.7																										0	0	0	0	0	0	1		0	0	0	0	0	0	1		0	0	0						0																	1													
81	Upper Devonian	middle-late Frasnian	Bicken (18)	Germany	Kellwasserkalk		379.2	372.2																										0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0						0																														
82	Upper Devonian	early Frasnian	Ravar (21)	Iran			382.7	379.2																1		LIM								0	0	0	0	0	0	1		1		1		1		1		0	0	0																																				
83	Upper Devonian	early Frasnian	Charhriseh	Iran			382.7	379.2																1		LIM							1	0	0	0	0	1		1		1		1		1		1		0	0	1	commun		0	1																																
84	Upper Devonian	early-middle Frasnian	Kerman Region (20)	Iran	Cyrtospirifer verneuili stratum		382.7	375.7																									1	0	0	0	0	1		1		1		1		1		1		0	0	1						0									1																					
85	Upper Devonian	Famennian	Chahriseh	Iran	Bahram		372.2	358.9								0		1		1		0		1		SHA LIM							1	0	0	0	0	1		1		1		1		1		1		0	0	1	commun		0	1		0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0		0	0	0		0		0			
86	Middle Devonian	Givetian	Soh	Iran			387.7	382.7																									1	0	0	0	0	1		0	0	1		0	0	1		0	0	0	0	1	rare		0	1																																
87	Upper Devonian	early Frasnian	Koknese FRe (22)	Latvia	Snetnaya Group		382.7	379.2																										0	0																	0						0																														
88	Upper Devonian	late Famennian	Pavari FA	Latvia	Ketleri		363.3333333	358.9			Shallow sea			0		1		1		1		0		0		SAN							0	0	0	0	0	0		1		1		0	0	1		1		1		0	commun		1	1		0	0	0	0	0	0					0	0			0			0	0			0	0	0		0		0			
89	Middle Devonian	late Givetian	Straupe (23)	Latvia	Gauja beds		384.3666667	382.7																										0	0	1		0	0	1		1		0	0	0	0	1				0						0																														
90	Upper Devonian	late Givetian	Pasta Muiza FRe (24)	Latvia	Amata		384.3666667	382.7				1942																						0	0	1		0		1		1		0	0	0	0	1				0						0																														
91	Middle Devonian		Lode	Latvia	Gauja									0		0		1		1		1		0												1		0	0	1		1		0	0	0	0	1		0	0	0	commun		1	1		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0		1	0	1		1		0			
92			Ligatne	Latvia																																																0						0																														
93				Latvia	Daugava																																															0																																				
94				Latvia	Ogre																																															0																																				
95				Latvia																																																0																																				
96	Upper Devonian	middle Famennian	Hushoot Shiveetiin gol section	Mongolia	Samnuuruul	171	367.7666667	363.3333333	Baruunhuurai		shallow-water shelf	2021	one time	0	0	1	3	1	15	1	80	0	0	1	2	SHA 							1	0	0	0	0	0	0	0	0	0	0	1	5	1	1	0	0	0	0	7	rare	20	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	>30	0	0	0	0	0	0	0	0	0	
97	Upper Devonian	Famennian	Morocco FA	Morocco			372.2	358.9																										0	0															0	0	0																																				
98	Upper Devonian	Famennian	Hamar Lagdad	Morocco			372.2	358.9						0	0									1		LIM							1	0	0	0	0	0	0	1		0	0	1		0	0	1	1	0	0	2				1		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0			0	0	0		0		0	0	0	
99	Upper Devonian	Famennian	Oued Chebbi	Morocco			372.2	358.9						0	0									1		LIM							1	0	0	0	0	0	0	1		0	0	1		0	0	1	1	0	0	2				1		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0			0	0	0		0		0	0	0	
100	Upper Devonian	middle Famennian	Madene	Morocco	Hangenberg Black Shale		367.7666667	363.3333333			Small epicontinental basin									1						SHA								0	0					1				1				0	0	0	0	0												1	1	1							1						1									
101			Ma•der	Morocco																														0	0															0	0	0																																				
102	Upper Devonian	Famennian	Holy	Poland			372.2	358.9																										0	0																	0						0																														
103	Upper Devonian	Frasnian	Holy Cross Mountains FRl (26)	Poland	Kielce facies		382.7	372.2																										0	0	1		0		1		0	0	0	0	1		1				0						0																														
104	Middle Devonian	Givetian	Zachelmie Quarry	Poland	Wojciechowice		387.7	382.7						0		0		0		0		1		0		MUD								0	0					1										1		0			0	1		0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1		0	0	1		0		0			
105	Lower Devonian	late Emsian	"Bukowa Gora, Holy Cross Mountains"	Poland	Zagorze		398.0666667	393.3			marine near shore or river			0		1		0		0		1		0									1	0	0	1		0		1		1		0	0	0	0	1		0	0	1	commun		0	1		0	1	0	0	0	0	0	0	0	1	0	0	1	0		0	0		0	0		0	0	0		0		0			
106	Lower Devonan	late Emsian	"Grzegorzowice-Skaly, Holy Cross Mountains"	Poland	Grzegorzowice		398.0666667	393.3			very shallow marine			0		1		0		1		0		1									1	0	0	1		0		1		1		0	0	0	0	1		0	0	1	commun		0	1		0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0		0	0	0		0		0			
107	Upper Devonian	middle Frasnian	Holy Cross Mountains FRm  (25)	Poland	Kielce facies		379.2	375.7																										0	0	0	0	0		1		0	0	0	0	0	0	1				0						0																														
108	Upper Devonian	early Frasnian	Piskovichi outcrops	Russia			382.7	379.2			"shallow-marine, epi-cratonic basin"																							0	0					1												0																																				
109	Upper Devonian	early Frasnian	Snetnaya Gora outcrops	Russia		10	382.7	379.2			"shallow-marine, epi-cratonic basin"			0	0					1		0		1									1	0	0					1												1	abundant			1		0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1		1	0	0		0		0	0	1	
110	Upper Devonian	early Frasnian	"Velikaya River, Pskov Region"	Russia			382.7	379.2			"shallow-marine, epi-cratonic basin"	1947																						0	0					1												0																																				
111	Upper Devonian	Famennian	Oryol Region	Russia			372.2	358.9																										0	0					1												0																																				
112	Upper Devonian	Fammenian	Andreyevka-2	Russia			372.2	358.9																1		LIM							1	0	0	0	0	0		1		1		0	0	1		1		1		1				1														1																		
113	Upper Devonian	Frasnian	Pskov FR (39)	Russia			382.7	372.2				1933																						0	0	1				1		1				1		1		0	0	>20																																				
114	Upper Devonian	Frasnian	Sjass FR (40)	Russia			382.7	372.2																										0	0																	0																																				
115	Upper Devonian	early Famennian	Mill Rock	Scotland	Pickwell Down Sandstone		372.2	367.7666667			non-marine			0		1		0		1		0		0		SAN							0			0	0	0		1		0	0	0	0	0	0	1		0	0	0	rare		0	1		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0			0	0	0		0		0			
116	Upper Devonian	early Frasnian	Whitemire FR (31)	Scotland	Edenkillie Beds		382.7	379.2																																												0						0																														
117	Upper Silurian	early Wenlock	"Shiel Burn, Monks Water"	Scotland	Fish Bed		433.4	431.4			lagoon	1896	100	0	0	1	35	1	5	0	0	1	60	0	0	MUD							0	0	0	1	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	10	abundant	40	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1		1	0	0		0		0	1		
